"","x"
"146",-2.05479867115833
"147",-2.6845590776923
"148",-5.22875944774721
"149",-0.621119061495056
"150",1.23457057305006
"151",0.62499196121713
"152",2.51572796864004
"153",-3.22580307623525
"154",-1.87500380504918
"155",2.14723867529894
"156",-1.25392118853702
"157",-5.57275671560497
"158",2.05279381305337
"159",0.898201052475447
"160",0
"161",0
"162",-3.0211536934352
"163",-0.586503241567586
"164",-0.29154964714261
"165",-2.03488368810239
"166",-0.284896327693296
"167",-0.568183329378547
"168",-1.97740059830444
"169",0
"170",-0.831031168244913
"171",0.824181959280243
"172",2.21606266944553
"173",-2.5495759499634
"174",-0.552487625596925
"175",-1.09889487144026
"176",-2.71739692098457
"177",1.58730467856581
"178",1.34408511337608
"179",-2.17983321993385
"180",0
"181",-1.06666845674385
"182",-2.90237641456258
"183",2.564107276332
"184",-2.10526723092817
"185",-1.03093003875775
"186",0
"187",2.29591913714079
"188",0
"189",-1.04438052661068
"190",-0.258402386380147
"191",-1.54638729871677
"192",0.253804086131815
"193",-2.03562037506884
"194",-0.249380372027839
"195",0
"196",-0.497513745504772
"197",0
"198",0.742579324674254
"199",-1.74564274467327
"200",2.20588308804637
"201",-2.50626343509902
"202",2.44498565366773
"203",-0.250623568712806
"204",-5.99999736810487
"205",1.65094343836328
"206",0.239805298398841
"207",2.40384361276201
"208",-2.4630515193899
"209",0.48077002990876
"210",-0.241550050508348
"211",-1.20481796321845
"212",1.66666616566162
"213",-1.45277982677731
"214",-1.67064442128017
"215",-0.938969171882254
"216",0.930234556173588
"217",0.938962332593294
"218",0.710905317721836
"219",-0.715995366859482
"220",0.473934423684426
"221",-0.476191257978562
"222",-0.473927979842815
"223",1.17924452779666
"224",-1.4319837801698
"225",1.17646933544799
"226",-1.66666662812782
"227",-0.234188782967245
"228",-0.233648881651277
"229",1.6317015820981
"230",4.26540382959255
"231",-0.495050318947196
"232",0.492611643435199
"233",0.495050799728889
"234",-0.746266511281248
"235",-0.740745820890748
"236",0.735299123363388
"237",-2.96296170180684
"238",-3.59712605531295
"239",0.462963728982063
"240",-0.465117052231204
"241",1.38889163656611
"242",-1.40845352984708
"243",-1.38888489226748
"244",-1.36986577773481
"245",0.900902839948366
"246",-0.227276642087392
"247",-1.13378563260696
"248",-1.12107504481806
"249",-0.66518656687058
"250",-0.440529806659083
"251",-2.19298656250289
"252",-0.858364669382064
"253",-1.48936131435947
"254",-2.93501013644194
"255",-6.72097629072285
"256",-6.10687135236316
"257",0.899279650655019
"258",1.99636619000847
"259",1.29630165976216
"260",-0.562855651505117
"261",2.23881040254619
"262",-3.24427847562863
"263",0.739372765918028
"264",-0.372445529235948
"265",0.927642763200273
"266",0
"267",0
"268",2.24719535156358
"269",-0.38313681395998
"270",1.14503492661966
"271",-0.579154545318234
"272",0
"273",-4.99039591600486
"274",-0.18282383392691
"275",0.364969408908267
"276",-0.549454314073961
"277",0.182147183615071
"278",3.83212155068911
"279",-0.189751056117559
"280",0.378782998925379
"281",-2.85170793696692
"282",-1.29390557163606
"283",-1.82481585339212
"284",1.6129037647889
"285",-0.182146829815826
"286",1.09090595745219
"287",0.73529531481837
"288",0.370376732991576
"289",-0.371753621911188
"290",0.555559344352611
"291",7.07634786292994
"292",0
"293",3.80761413369612
"294",-0.833329037215156
"295",3.30578588016126
"296",-2.56410773606195
"297",-2.49999884672495
"298",-1.62601342282292
"299",2.99999688834238
"300",-3.91752422740178
"301",2.3809513348979
"302",3.25203276746904
"303",-2.10083810381493
"304",1.23456437828672
"305",-3.3333339538088
"306",-0.403226466494571
"307",-2.00803033186191
"308",-2.75590508279185
"309",-2.68199193084948
"310",1.30597557346372
"311",1.13421230117427
"312",0.764819639520249
"313",-0.963390146733324
"314",2.09923242863816
"315",-4.87328955546124
"316",-1.30112070813322
"317",-1.10091425828768
"318",-0.181485688318049
"319",-1.44927853940636
"320",-5.71428661609481
"321",-1.68918741123637
"322",-0.332231635582035
"323",0
"324",0.662253054832211
"325",0.166664350404778
"326",-2.50417086508363
"327",-0.325728689677129
"328",1.29869434532803
"329",-2.30263146755434
"330",1.92926419546691
"331",-0.655738790675814
"332",-0.325728689677129
"333",0.974022887391645
"334",-2.95082041858961
"335",0.636943725178309
"336",1.28205403164997
"337",-1.62337526280049
"338",-2.87540052680599
"339",1.86334873945001
"340",3.16456305815362
"341",1.9607787564854
"342",-0.333329024535866
"343",-0.332231635582035
"344",0.331131511943976
"345",-3.65448765569501
"346",0.961535698969969
"347",0.647250561031075
"348",-1.3029343720954
"349",-0.964627101314329
"350",3.18471027498935
"351",-1.3157823361241
"352",-2.59740792504607
"353",-2.53164110353519
"354",-2.4691408463535
"355",7.22892100561523
"356",-0.324680917472458
"357",-1.61812121667052
"358",-1.91082251534006
"359",0.62499195932032
"360",-3.14465094183151
"361",-2.13414601829074
"362",4.47761645328448
"363",1.5624987148949
"364",-0.952387802753421
"365",0
"366",1.57233478568263
"367",0.319484706917981
"368",1.60256271479495
"369",-2.28012993147531
"370",-0.955411257670031
"371",0.946369536578401
"372",-0.955411257670031
"373",0.315453346414687
"374",0
"375",-0.949364338152772
"376",-2.19435705660008
"377",0.920242760553829
"378",-0.619196361774695
"379",-0.923074240094438
"380",0
"381",0.609757401084259
"382",0.613498252081834
"383",-0.925923283715039
"384",1.22323506264545
"385",-0.309593520430904
"386",-1.23457057305006
"387",0.609757401084259
"388",-2.14723896680984
"389",3.0030001382224
"390",0.928798902443861
"391",1.24999332693769
"392",-1.89872867630553
"393",1.24222937634658
"394",-2.20125746115499
"395",0.923083204823458
"396",1.24222937634658
"397",0
"398",1.57233478568263
"399",10.0638922251147
"400",9.76909496764994
"401",-7.08661629273363
"402",2.38970763085316
"403",2.07157015636665
"404",7.49999533086988
"405",-5.40540997835599
"406",-1.18342851149077
"407",1.94931567073357
"408",-2.98210412920861
"409",-2.31660693209511
"410",1.88680174627655
"411",-0.576927056458585
"412",2.86806584905771
"413",-2.16534986966185
"414",-1.15607730778271
"415",-0.190473907919342
"416",-1.9011386246446
"417",1.49254014757071
"418",3.03029820339164
"419",0
"420",4.1015676888782
"421",1.62932511617497
"422",-2.69151384665612
"423",4.83871329028603
"424",0
"425",1.90678038553017
"426",3.02375773238901
"427",0
"428",-2.00445511183067
"429",3.49345052984559
"430",-3.84615854486198
"431",0.217868664990487
"432",1.96506624110988
"433",-0.890870524778385
"434",-1.54525342583932
"435",-0.434783754282989
"436",1.73160543351528
"437",0.881052340171201
"438",-4.44444008013393
"439",-3.19149266344704
"440",1.03092713316855
"441",-3.75000130502178
"442",-0.602402039984454
"443",1.19760140562215
"444",-1.81818250309045
"445",1.19047277703521
"446",2.81125034324742
"447",3.30578588016126
"448",-2.56410773606195
"449",2.29166800372385
"450",1.49253688692136
