Date,Open,High,Low,Close,Adj Close,Volume
2008-07-14,64.869606,64.869606,63.633995,63.839931,63.839931,193099
2008-07-15,61.780579,63.839931,61.162769,63.428059,63.428059,420002
2008-07-16,63.428059,66.723022,61.368706,65.899284,65.899284,279386
2008-07-17,69.400185,73.518890,67.134895,72.283272,72.283272,825872
2008-07-18,73.518890,76.401978,72.695145,75.372307,75.372307,445877
2008-07-21,77.225723,85.875000,77.225723,84.227524,84.227524,636630
2008-07-22,83.403778,84.639389,76.196045,78.461334,78.461334,493105
2008-07-23,84.433456,93.906479,83.403778,92.670868,92.670868,1021585
2008-07-24,94.524284,102.349823,89.169968,91.435257,91.435257,765283
2008-07-25,88.140289,95.348022,85.463135,93.082733,93.082733,299296
2008-07-28,93.700539,93.700539,83.403778,84.433456,84.433456,247952
2008-07-29,83.403778,88.552162,81.344429,86.698746,86.698746,361230
2008-07-30,89.993706,93.700539,89.787773,92.053062,92.053062,374001
2008-07-31,90.199646,94.112411,87.316551,91.641190,91.641190,521231
2008-08-01,90.199646,90.611511,86.492805,87.728416,87.728416,162769
2008-08-04,88.140289,89.993706,87.110611,88.346222,88.346222,163060
2008-08-05,89.787773,95.759895,89.581841,95.759895,95.759895,702016
2008-08-06,96.377701,98.848923,94.112411,98.437050,98.437050,377642
2008-08-07,97.201439,101.526085,95.759895,100.496407,100.496407,566343
2008-08-08,97.819244,101.320145,97.613312,100.496407,100.496407,369048
2008-08-11,101.732018,102.555756,100.290466,102.555756,102.555756,386966
2008-08-12,102.349823,103.997307,99.672668,100.084534,100.084534,348216
2008-08-13,98.848923,102.555756,90.817451,94.730217,94.730217,420229
2008-08-14,99.672668,100.084534,96.171768,99.054855,99.054855,331026
2008-08-15,98.848923,102.555756,98.231117,102.555756,102.555756,320149
2008-08-18,101.526085,104.512146,99.672668,103.482468,103.482468,459810
2008-08-19,100.702339,102.967628,96.171768,96.377701,96.377701,255261
2008-08-20,99.260796,99.466728,88.346222,89.993706,89.993706,474393
2008-08-21,88.140289,88.964027,83.609711,86.492805,86.492805,773408
2008-08-22,87.522484,96.171768,86.492805,95.553963,95.553963,522166
2008-08-25,95.142090,95.142090,91.435257,93.906479,93.906479,135474
2008-08-26,94.318352,99.260796,92.053062,98.437050,98.437050,372447
2008-08-27,95.348022,96.789574,93.700539,94.318352,94.318352,273008
2008-08-28,93.700539,101.937950,92.876801,100.084534,100.084534,377487
2008-08-29,100.702339,101.114212,94.730217,95.553963,95.553963,288875
2008-09-01,94.318352,99.878601,92.670868,99.054855,99.054855,332624
2008-09-02,99.260796,107.086334,99.260796,106.056656,106.056656,723918
2008-09-03,104.512146,108.630852,103.482468,108.630852,108.630852,506829
2008-09-04,108.116013,108.116013,97.201439,99.672668,99.672668,285071
2008-09-05,99.054855,101.114212,97.201439,99.672668,99.672668,287883
2008-09-08,102.967628,102.967628,98.848923,100.084534,100.084534,239807
2008-09-09,99.672668,104.512146,99.672668,102.349823,102.349823,299482
2008-09-10,101.114212,103.482468,99.260796,102.555756,102.555756,194830
2008-09-11,100.496407,101.937950,96.789574,98.642990,98.642990,226982
2008-09-12,99.878601,116.868256,99.054855,113.779228,113.779228,1555215
2008-09-15,121.501801,139.521133,116.353416,124.590828,124.590828,1091299
2008-09-16,123.561157,125.620506,115.323746,124.075996,124.075996,873627
2008-09-17,124.590828,126.135345,107.086334,110.690201,110.690201,446802
2008-09-18,108.630852,116.353416,103.482468,103.997307,103.997307,562522
2008-09-19,117.383095,122.016640,112.234718,118.412773,118.412773,620356
2008-09-22,120.986961,121.501801,117.383095,118.412773,118.412773,139577
2008-09-23,118.412773,123.046318,106.571495,108.116013,108.116013,348327
2008-09-24,107.601173,112.749550,107.601173,111.205040,111.205040,138083
2008-09-25,111.719879,114.808907,111.205040,112.234718,112.234718,118433
2008-09-26,111.719879,113.264389,106.056656,108.630852,108.630852,125372
2008-09-29,110.175362,110.175362,96.789574,98.642990,98.642990,185710
2008-09-30,96.789574,101.114212,87.110611,93.700539,93.700539,286878
2008-10-01,95.965828,98.642990,93.906479,98.437050,98.437050,209861
2008-10-02,98.231117,101.526085,95.965828,100.702339,100.702339,276820
2008-10-03,100.908279,101.937950,96.377701,100.496407,100.496407,305367
2008-10-06,95.348022,95.348022,85.257195,90.817451,90.817451,216866
2008-10-07,93.288673,93.906479,82.168167,83.609711,83.609711,215783
2008-10-08,78.667267,82.374100,72.077339,76.196045,76.196045,308736
2008-10-09,78.667267,80.108818,74.548561,78.255402,78.255402,398492
2008-10-10,72.077339,75.990112,67.546761,68.782379,68.782379,266603
2008-10-13,72.283272,78.873199,72.283272,77.225723,77.225723,230010
2008-10-14,86.904678,100.290466,82.374100,98.642990,98.642990,255081
2008-10-15,92.258995,92.258995,87.728416,87.728416,87.728416,93460
2008-10-16,82.374100,84.845329,78.667267,80.726624,80.726624,134572
2008-10-17,84.639389,85.669067,76.813850,77.431656,77.431656,178949
2008-10-20,79.902878,81.138489,77.225723,79.902878,79.902878,175796
2008-10-21,80.932556,82.374100,78.461334,79.491013,79.491013,160294
2008-10-22,77.637589,83.403778,77.431656,79.079140,79.079140,137439
2008-10-23,78.461334,78.461334,71.253601,75.578239,75.578239,200133
2008-10-24,72.077339,73.312950,61.368706,66.105217,66.105217,166596
2008-10-27,66.517090,66.517090,60.956837,63.839931,63.839931,198562
2008-10-28,70.429855,70.429855,62.604317,65.487411,65.487411,126521
2008-10-29,72.283272,80.108818,72.283272,80.108818,80.108818,277262
2008-10-30,80.108818,80.314751,75.990112,78.049461,78.049461,150447
2008-10-31,78.255402,82.785973,76.607918,82.785973,82.785973,80318
2008-11-03,82.991905,87.522484,82.991905,87.316551,87.316551,92977
2008-11-04,87.316551,88.552162,82.991905,87.522484,87.522484,128005
2008-11-05,85.463135,85.463135,79.902878,82.991905,82.991905,169246
2008-11-06,79.079140,81.138489,76.196045,77.225723,77.225723,98481
